Id,Genus,Subgenus,Specific epithet ,Location of measured specimen,Country,New record ,State ,Municipality,Day ,Month,Year,Location ,Sampling point,ITD,ITD average,Sex,Collector,Collection ID
1044,Neocorynura,NA,oiospermi,UFMG,Brasil,yes,Minas Gerais,Nova Lima,10,i,2016,Mata,NA,1.9,NA,Female,A.R. Lima,UFMG-IHY 1600560
1045,Neocorynura,NA,oiospermi,UFMG,Brasil,yes,Minas Gerais,Nova Lima,25,x,2015,Mata,NA,1.7,NA,Female,A.R. Lima,UFMG-IHY 1600495
1046,Neocorynura,NA,cuprifrons,UFMG,Brasil,no,Pará,Canaã dos Carajás,31,i,2010,NA,NA,1.9,1.9,Female,R.B.Martines,UFMG IHY 1303697
1047,Neocorynura,NA,cuprifrons,UFMG,Brasil,no,Pará,Canaã dos Carajás,28,iv,2010,NA,NA,1.9,NA,Female,R.B.Martines,UFMG IHY 1314867
1048,Oxaea,NA,flavescens,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,12,ix,1996,NA,NA,4.8,5.2,Female,R.M. Carmo,NA
1049,Oxaea,NA,flavescens,UFMG,Brasil,yes,Pará,Canaã dos Carajás,7,vi,2010,NA,NA,5,NA,Female,R.M. Carmo,UFMG-IHY 1315603
1050,Oxaea,NA,flavescens,UFMG,Brasil,no,Minas Gerais,Nova Lima,14,iii,2012,Serra da Rola-Moça,NA,5.5,NA,Female,J.E. Santos Jr,NA
1051,Oxaea,NA,flavescens,UFMG,Brasil,no,Minas Gerais,Nova Lima,12,xii,2011,Serra da Rola-Moça,NA,5.5,NA,Female,R. Cunha Santos,NA
1052,Oxaea,NA,flavescens,UFMG,Brasil,yes,Pará,Canaã dos Carajás,13,ii,2015,NA,NA,5,NA,Female,R.B. Martines; A. Cordeiro,UFMG-IHY 1500764
1053,Oxytrigona,NA,ignis,MPEG,Brasil,no,Pará,Parauapebas,12,ix,1985,Serra Norte,Manganês,1.4,1.4,Female,FF Ramos,MPEG-HYM11004170
1054,Oxytrigona,NA,ignis,MPEG,Brasil,no,Pará,Parauapebas,20,vi,1985,Serra Norte,3 alfa,1.5,NA,Female,FF Ramos,MPEG-HYM11004256
1055,Oxytrigona,NA,ignis,MPEG,Brasil,no,Pará,Parauapebas,21,x,1984,Serra Norte,Serraria,1.5,NA,Female,NA,MPEG-HYM11004267
1056,Oxytrigona,NA,ignis,MPEG,Brasil,no,Pará,Barcarena,13,xi,2001,NA,NA,1.5,NA,Female,"IS Gorayeb, A Taavres, B Bittencourt, JO Dias",MPEG03033854
1057,Oxytrigona,NA,ignis,UFMG,Brasil,no,Pará,Canaã dos Carajás,4,xii,2010,NA,NA,1.3,NA,Female,A.S.M. Dias,UFMG-IHY 1311316
1058,Oxytrigona,NA,isthmina,UFMG,Brasil,yes,Pará,Canaã dos Carajás,4,xii,2010,NA,NA,1.5,1.5,Female,R.M.Carmo,UFMG-IHY 1311001
1059,Oxytrigona,NA,isthmina,UFMG,Brasil,yes,Pará,Canaã dos Carajás,4,xii,2010,NA,NA,1.4,NA,Female,R.M.Carmo,UFMG-IHY 1311000
1060,Oxytrigona,NA,isthmina,UFMG,Brasil,yes,Pará,Canaã dos Carajás,4,xii,2010,NA,NA,1.4,NA,Female,R.M.Carmo,UFMG-IHY 1310999
1061,Oxytrigona,NA,isthmina,UFMG,Brasil,yes,Pará,Canaã dos Carajás,7,vi,2010,NA,NA,1.5,NA,Female,R.M.Carmo,UFMG-IHY 1315611
1062,Oxytrigona,NA,isthmina,UFMG,Brasil,yes,Pará,Canaã dos Carajás,4,xii,2010,NA,NA,1.5,NA,Female,R.M.Carmo,UFMG-IHY 1310979
1063,Oxytrigona,NA,mulfordi,UFMG,Brasil,no,Pará,Canaã dos Carajás,26,iv,2010,NA,NA,1.4,1.4,Female,A.M.S.Dias,UFMG-IHY 1315409
1064,Oxytrigona,NA,mulfordi,UFMG,Brasil,no,Pará,Canaã dos Carajás,22,iv,2010,Carajás,Serra Sul,1.3,NA,Female,Rogério,UFMG-IHY 1413358
1065,Oxytrigona,NA,mulfordi,UFMG,Brasil,no,Pará,Canaã dos Carajás,7,vi,2010,NA,NA,1.4,NA,Female,R.M.Carmo,UFMG-IHY 131563
1066,Oxytrigona,NA,mulfordi,UFMG,Brasil,no,Pará,Canaã dos Carajás,30,i,2010,NA,NA,1.3,NA,Female,A.M.S.Dias,UFMG-IHY 1304789
1067,Oxytrigona,NA,mulfordi,UFMG,Brasil,no,Pará,Canaã dos Carajás,30,i,2010,NA,NA,1.4,NA,Female,A.M.S.Dias,UFMG-IHY 1304790
1068,Oxytrigona,NA,obscura,UFMG,Brasil,no,Pará,Canaã dos Carajás,30,i,2010,NA,NA,1.1,1.1,Female,R.C.C.Arantes,UFMG IHY 1303897
1069,Oxytrigona,NA,tataira,MPEG,Brasil,yes,Pará,Parauapebas,19,vi,1985,Serra Norte,3 alfa,1.4,1.4,Female,Marcio Zanuto,MPEG-HYM11003980
1070,Oxytrigona,NA,tataira,MPEG,Brasil,yes,Pará,Parauapebas,11,ix,1985,Serra Norte,pojuca,1.3,NA,Female,W França,MPEG-HYM11003763
1071,Oxytrigona,NA,tataira,MPEG,Brasil,yes,Pará,Parauapebas,11,ix,1985,Serra Norte,pojuca,1.4,NA,Female,W França,MPEG-HYM11003939
1072,Oxytrigona,NA,tataira,MPEG,Brasil,yes,Pará,São Felix do Xingu,15,xi,1991,NA,NA,1.4,NA,Female,MS Brigida,NA
1073,Oxytrigona,NA,tataira,MPEG,Brasil,yes,Pará,Parauapebas,12,iv,1983,Serra Norte,fofoca,1.4,NA,Female,IS Gorayeb,MPEG-HYM11003330
1074,Paracorynurella,NA,reticulata,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,19,vi,1998,NA,NA,1.1,1.1,Female,G.Sousa,2318-7233
1075,Paracorynurella,NA,reticulata,UFMG,Brasil,no,Minas Gerais,Nova Lima,18,xi,2004,Pq. E. S. Rola Moça,NA,1.1,NA,Female,N.G.Fonseca,11419-33971
1076,Paratetrapedia,NA,connexa,UFMG,Brasil,no,Pará,Canaã dos Carajás,11,ii,2015,NA,NA,2,2.2,Female,A. Cordeiro,UFMG IHY 1500678
1077,Paratetrapedia,NA,connexa,UFMG,Brasil,no,Pará,Canaã dos Carajás,11,ii,2015,NA,NA,2.3,NA,Female,A. Cordeiro,UFMG IHY 1500609
1078,Paratetrapedia,NA,connexa,UFMG,Brasil,no,Pará,Canaã dos Carajás,11,ii,2015,NA,NA,2,NA,Female,A. Cordeiro,UFMG IHY 1500595
1079,Paratetrapedia,NA,connexa,UFMG,Brasil,no,Pará,Parauapebas,29,viii,2017,flona carajás serra norte n5,NA,2.3,NA,Female,E.N.L.Siqueira,UFMG IHY 1706665
1080,Paratetrapedia,NA,connexa,UFMG,Brasil,no,Minas Gerais,Paraopeba,6,vii,1987,NA,NA,2.4,NA,Female,F.A.Silveira,392-1035
1081,Paratetrapedia,NA,fervida,UFMG,Brasil,no,Minas Gerais,Sabará,14,i,1996,NA,NA,2.2,2.2,Female,F.A.Silveira,UFMG IHY 222
1082,Paratetrapedia,NA,fervida,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,20,iii,1996,NA,NA,2.3,NA,Female,Y. Antonini,UFMG IHY 530
1083,Paratetrapedia,NA,fervida,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,26,x,1996,NA,NA,2.1,NA,Female,R.M. Carmo,UFMG IHY 1489
1084,Paratetrapedia,NA,fervida,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,9,xi,1996,NA,NA,2.3,NA,Female,R.M. Carmo,UFMG IHY 1523
1085,Paratetrapedia,NA,fervida,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,12,xi,1996,NA,NA,2.3,NA,Female,Y. Antonini,UFMG IHY 1554
1086,Paratetrapedia,NA,lineata,UFMG,Brasil,no,Pará,Canaã dos Carajás,11,ii,2015,NA,NA,1.3,1.4,Female,A. Cordeiro,UFMG-IHY 1500608
1087,Paratetrapedia,NA,lineata,UFMG,Brasil,no,Pará,Canaã dos Carajás,11,ii,2015,NA,NA,1.4,NA,Female,A. Cordeiro,UFMG-IHY 1500575
1088,Paratetrapedia,NA,lugubris,UFMG,Brasil,no,Pará,Canaã dos Carajás,11,ii,2015,NA,NA,2.8,2.8,Female,A. Cordeiro,UFMG IHY 1500611
1089,Paratetrapedia,NA,lugubris,UFMG,Brasil,no,Minas Gerais,Brasilândia de Minas,14,vii,2000,NA,NA,3,NA,Female,F.A.Silveira,7144-21208
1090,Paratetrapedia,NA,lugubris,UFMG,Brasil,no,Minas Gerais,Mariléria,26,i,2001,NA,NA,2.7,NA,Female,E.A.B.Almeida,7744-23206
1091,Paratetrapedia,NA,lugubris,UFMG,Brasil,yes,Rio de Janeiro,Macaé,20,xii,2011,NA,NA,2.6,NA,Female,T.M.S.Mesquita,22115-65167
1092,Paratetrapedia,NA,lugubris,UFMG,Brasil,no,Pará,Canaã dos Carajás,11,ii,2015,NA,NA,2.7,NA,Female,A. Cordeiro,UFMG IHY 1500611
1093,Paratetrapedia,NA,punctata,UFMG,Brasil,no,Minas Gerais,Nova Lima,31,v,1999,NA,NA,2.4,2.3,Female,M. Pompeu,4621-12880
1094,Paratetrapedia,NA,punctata,UFMG,Brasil,no,Minas Gerais,Nova Lima,18,iii,1999,NA,NA,2.2,NA,Female,M. Pompeu,4502-12694
1095,Paratetrapedia,NA,punctata,UFMG,Brasil,no,Minas Gerais,Nova Lima,14,iii,1999,NA,NA,2.6,NA,Male,M. Pompeu,4463-12552
